,rank,conf,imp,score
bow sliding,0.85691264,0.099189847,0.001769407,0.012723509
compare multiple quote,0.933887758,0.212107029,0.000659003,0.01204396
cost,1.503981717,0.005519861,0.007367666,0.009115203
end monday free quote deal,2.179579293,0.183973549,0.000104297,0.009033006
quote local,1.266702376,0.347643052,0.00012565,0.006960034
local deal review brand,0.724920717,0.06527008,0.001961808,0.006684041
financing free,1.884577042,0.16164956,0.000101874,0.005814773
estimate compare multiple quote,0.724920717,0.06527008,0.000999636,0.003417044
free estimate compare multiple quote,0.724920717,0.06527008,0.000992,0.003391031
end monday free,2.179579293,0.183973549,3.26E-05,0.002837385
award,1.319628479,0.295624309,4.06E-05,0.002087628
financing free quote,1.580060233,0.166660313,2.24E-05,0.000932467
efficient,2.641475799,0.034928619,2.22E-05,0.000540807
award winning energy,1.319628479,0.295624309,9.79E-06,0.000503486
hung casement,0.85691264,0.099189847,1.74E-05,0.000126472
hung casement bay bow sliding,0.85691264,0.099189847,8.39E-06,6.11E-05
amenity free,0.724920717,0.06527008,0,0
amenity free estimate,0.724920717,0.06527008,0,0
amenity free estimate compare,0.724920717,0.06527008,0,0
amenity free estimate compare multiple,0.724920717,0.06527008,0,0
award winning,1.319628479,0.295624309,0,0
award winning energy efficient free,1.319628479,0.295624309,0,0
awning,0.85691264,0.099189847,0,0
awning picture,0.85691264,0.099189847,0,0
awning picture garden,0.85691264,0.099189847,0,0
awning picture garden basement,0.85691264,0.099189847,0,0
bay bow,0.85691264,0.099189847,0,0
bay bow sliding,0.85691264,0.099189847,0,0
bay bow sliding awning,0.85691264,0.099189847,0,0
bay bow sliding awning picture,0.85691264,0.099189847,0,0
bow sliding awning,0.85691264,0.099189847,0,0
bow sliding awning picture,0.85691264,0.099189847,0,0
bow sliding awning picture garden,0.85691264,0.099189847,0,0
buy free financing,2.52311481,0.399753309,0,0
buy free financing expert,1.543066405,0.284637957,0,0
casement bay,0.85691264,0.099189847,0,0
casement bay bow,0.85691264,0.099189847,0,0
casement bay bow sliding,0.85691264,0.099189847,0,0
casement bay bow sliding awning,0.85691264,0.099189847,0,0
choose,2.403232005,0.266336516,0,0
choose feldco,2.403232005,0.266336516,0,0
compare multiple,0.933887758,0.212107029,0,0
compare multiple quote local,0.724920717,0.06527008,0,0
compare multiple quote local deal,0.724920717,0.06527008,0,0
consultation,1.98475797,0.15040962,0,0
deal review,0.724920717,0.06527008,0,0
deal review brand,0.724920717,0.06527008,0,0
double hung casement,0.85691264,0.099189847,0,0
double hung casement bay,0.85691264,0.099189847,0,0
double hung casement bay bow,0.85691264,0.099189847,0,0
easy quote,1.060243149,0.100674854,0,0
efficient free quote,1.319628479,0.295624309,0,0
end,3.690348534,0.311494296,0,0
estimate compare,0.724920717,0.06527008,0,0
estimate compare multiple,0.724920717,0.06527008,0,0
estimate compare multiple quote local,0.724920717,0.06527008,0,0
expert classic,2.477225412,0.554998712,0,0
expert classic quality great price,2.477225412,0.554998712,0,0
financing available,1.060243149,0.100674854,0,0
free easy,1.060243149,0.100674854,0,0
free easy quote,1.060243149,0.100674854,0,0
free estimate compare,0.724920717,0.06527008,0,0
free estimate compare multiple,0.724920717,0.06527008,0,0
free financing expert,1.543066405,0.284637957,0,0
free quote deal end,2.179579293,0.183973549,0,0
free quote homeowner choose feldco,2.403232005,0.266336516,0,0
garden,0.85691264,0.099189847,0,0
garden basement,0.85691264,0.099189847,0,0
home today free,4.491452669,0.47264113,0,0
homeowner,2.403232005,0.266336516,0,0
homeowner choose,2.403232005,0.266336516,0,0
hung casement bay,0.85691264,0.099189847,0,0
hung casement bay bow,0.85691264,0.099189847,0,0
hurry,2.179579293,0.183973549,0,0
hurry end monday,2.179579293,0.183973549,0,0
hurry end monday free,2.179579293,0.183973549,0,0
hurry end monday free quote,2.179579293,0.183973549,0,0
largest,1.635362674,0.214046405,0,0
local,2.758024041,0.492523643,0,0
local deal review,0.724920717,0.06527008,0,0
lower,1.478154076,0.114798279,0,0
lower energy,1.478154076,0.114798279,0,0
monday,2.179579293,0.183973549,0,0
monday free quote,2.179579293,0.183973549,0,0
monday free quote deal end,2.179579293,0.183973549,0,0
multiple quote local,0.724920717,0.06527008,0,0
multiple quote local deal,0.724920717,0.06527008,0,0
multiple quote local deal review,0.724920717,0.06527008,0,0
perfect,4.491452669,0.47264113,0,0
picture,0.85691264,0.099189847,0,0
picture garden,0.85691264,0.099189847,0,0
picture garden basement,0.85691264,0.099189847,0,0
price zip free quote today,2.42841705,0.388401123,0,0
quote deal end,2.179579293,0.183973549,0,0
quote free,2.143817529,0.649570713,0,0
quote local deal,1.072875781,0.20843597,0,0
quote local deal review,0.724920717,0.06527008,0,0
quote local deal review brand,0.724920717,0.06527008,0,0
review brand,0.724920717,0.06527008,0,0
served,1.060243149,0.100674854,0,0
